N,P,K,temperature,humidity,ph,rainfall,soil_texture,crop_label
85.0,27.0,45.0,26.07,88.73,6.47,57.8,2.0,5.0
18.0,9.0,40.0,19.45,89.02,5.63,106.16,3.0,2.0
22.0,72.0,85.0,18.87,15.66,6.39,88.51,1.0,7.0
89.0,60.0,17.0,25.38,57.21,5.98,101.7,3.0,3.0
78.0,37.0,22.0,25.34,63.32,6.33,74.52,3.0,3.0
71.0,52.0,18.0,25.11,55.98,5.79,78.16,3.0,3.0
27.0,72.0,23.0,19.93,21.8,5.96,64.03,0.0,0.0
60.0,36.0,43.0,23.43,83.06,5.29,219.9,0.0,6.0
35.0,66.0,81.0,19.37,15.77,6.14,85.25,1.0,7.0
78.0,43.0,42.0,21.32,83.0,7.28,192.32,0.0,6.0
97.0,8.0,52.0,24.91,86.97,6.24,49.49,2.0,5.0
21.0,39.0,20.0,28.14,82.12,7.06,46.76,1.0,9.0
93.0,22.0,52.0,26.59,81.33,6.93,41.88,2.0,5.0
4.0,23.0,5.0,22.68,93.36,7.48,110.33,1.0,4.0
31.0,79.0,75.0,18.82,16.11,8.2,89.73,1.0,7.0
8.0,26.0,36.0,18.78,87.4,6.8,102.52,3.0,2.0
52.0,60.0,79.0,19.45,18.23,8.38,75.63,1.0,7.0
23.0,65.0,20.0,23.04,22.43,5.83,108.37,0.0,0.0
37.0,18.0,39.0,24.15,94.51,6.42,110.23,3.0,2.0
95.0,55.0,42.0,26.8,82.15,5.95,193.35,0.0,6.0
90.0,44.0,38.0,23.84,83.88,7.47,241.2,0.0,6.0
5.0,21.0,38.0,22.43,90.34,6.11,112.46,3.0,2.0
24.0,53.0,17.0,28.95,89.08,6.42,57.66,1.0,9.0
91.0,36.0,45.0,24.44,82.45,5.95,267.98,0.0,6.0
12.0,8.0,10.0,16.15,91.44,8.0,107.43,1.0,4.0
29.0,75.0,75.0,19.62,18.71,7.06,88.46,1.0,7.0
14.0,22.0,9.0,17.25,91.14,6.54,112.51,1.0,4.0
74.0,55.0,19.0,18.05,62.89,6.29,84.24,3.0,3.0
36.0,38.0,15.0,28.36,87.6,6.32,58.0,1.0,9.0
14.0,22.0,9.0,17.25,91.14,6.54,112.51,1.0,4.0
27.0,79.0,82.0,17.07,17.54,6.31,70.87,1.0,7.0
99.0,39.0,18.0,19.2,68.31,6.11,87.85,3.0,3.0
90.0,14.0,52.0,24.85,89.2,6.39,59.68,2.0,5.0
3.0,26.0,39.0,24.38,91.19,7.08,103.6,3.0,2.0
34.0,11.0,10.0,31.75,94.6,7.36,115.2,1.0,4.0
90.0,23.0,54.0,28.56,90.46,6.16,27.27,3.0,8.0
38.0,14.0,37.0,21.81,94.64,6.66,102.65,3.0,2.0
99.0,5.0,47.0,24.13,84.84,6.65,51.19,2.0,5.0
42.0,74.0,83.0,19.26,14.28,7.55,65.78,1.0,7.0
9.0,77.0,17.0,20.12,24.45,5.78,106.16,0.0,0.0
83.0,10.0,53.0,24.93,85.01,6.2,48.76,2.0,5.0
29.0,45.0,16.0,28.44,87.91,6.58,43.12,1.0,9.0
108.0,22.0,46.0,26.18,86.73,6.12,53.33,2.0,5.0
59.0,69.0,80.0,19.08,17.87,8.17,69.41,1.0,7.0
81.0,6.0,55.0,24.89,85.87,6.11,51.71,2.0,5.0
40.0,64.0,16.0,16.43,24.24,5.93,140.37,0.0,0.0
6.0,13.0,9.0,34.51,90.56,7.79,118.33,1.0,4.0
107.0,12.0,46.0,29.57,93.62,6.56,27.57,3.0,8.0
31.0,70.0,77.0,20.89,14.32,6.49,90.46,1.0,7.0
31.0,55.0,22.0,22.91,21.34,5.87,109.23,0.0,0.0
84.0,29.0,49.0,29.94,93.91,6.25,20.39,3.0,8.0
20.0,29.0,10.0,29.07,93.27,7.37,100.79,1.0,4.0
5.0,45.0,21.0,28.36,88.01,6.49,43.05,1.0,9.0
52.0,73.0,79.0,17.26,18.75,7.84,94.0,1.0,7.0
22.0,71.0,17.0,18.15,19.39,5.51,107.69,0.0,0.0
39.0,28.0,10.0,31.35,91.48,7.18,109.15,1.0,4.0
8.0,45.0,18.0,27.93,85.42,7.01,43.25,1.0,9.0
51.0,72.0,75.0,18.89,14.99,7.1,80.11,1.0,7.0
76.0,44.0,17.0,20.42,62.55,5.86,65.28,3.0,3.0
107.0,22.0,54.0,28.0,90.85,6.63,21.62,3.0,8.0
93.0,53.0,38.0,26.93,81.91,7.07,290.68,0.0,6.0
5.0,13.0,37.0,22.34,89.79,5.65,103.32,3.0,2.0
27.0,79.0,82.0,17.07,17.54,6.31,70.87,1.0,7.0
35.0,57.0,83.0,19.48,17.45,7.48,80.5,1.0,7.0
19.0,53.0,22.0,27.86,80.45,6.85,42.83,1.0,9.0
107.0,5.0,52.0,26.66,89.98,6.88,57.41,2.0,5.0
105.0,14.0,50.0,26.21,87.69,6.42,59.66,2.0,5.0
4.0,14.0,41.0,19.85,89.81,6.43,102.82,3.0,2.0
118.0,12.0,47.0,27.97,92.17,6.01,28.95,3.0,8.0
32.0,79.0,15.0,23.91,20.75,5.71,81.6,0.0,0.0
108.0,26.0,52.0,28.83,94.27,6.2,26.24,3.0,8.0
22.0,30.0,12.0,15.78,92.51,6.35,119.04,1.0,4.0
27.0,69.0,22.0,17.92,24.91,5.93,69.15,0.0,0.0
40.0,9.0,41.0,24.38,85.4,5.78,106.13,3.0,2.0
20.0,40.0,15.0,29.57,88.08,7.2,45.04,1.0,9.0
109.0,10.0,53.0,26.82,87.83,6.55,46.06,2.0,5.0
1.0,27.0,36.0,23.99,93.34,5.68,104.99,3.0,2.0
12.0,78.0,23.0,16.07,18.72,6.0,88.07,0.0,0.0
28.0,80.0,17.0,19.62,18.67,5.81,144.16,0.0,0.0
98.0,26.0,52.0,27.34,90.7,6.15,28.69,3.0,8.0
89.0,11.0,47.0,29.79,94.65,6.33,27.87,3.0,8.0
4.0,20.0,41.0,24.27,93.8,6.54,104.54,3.0,2.0
72.0,40.0,38.0,20.41,82.21,7.59,245.15,0.0,6.0
74.0,35.0,40.0,26.49,80.16,6.98,242.86,0.0,6.0
39.0,58.0,85.0,17.89,15.41,6.0,68.55,1.0,7.0
53.0,73.0,77.0,19.71,18.1,7.33,73.64,1.0,7.0
29.0,22.0,43.0,19.66,87.95,5.56,106.04,3.0,2.0
37.0,74.0,15.0,24.92,18.23,5.58,62.71,0.0,0.0
35.0,64.0,15.0,28.47,63.54,6.5,69.53,3.0,1.0
9.0,80.0,19.0,21.81,18.57,5.95,125.1,0.0,0.0
32.0,73.0,81.0,20.45,15.4,5.99,92.68,1.0,7.0
60.0,55.0,44.0,23.0,82.32,7.84,263.96,0.0,6.0
25.0,68.0,77.0,20.09,15.11,7.7,85.75,1.0,7.0
1.0,27.0,36.0,23.99,93.34,5.68,104.99,3.0,2.0
89.0,60.0,19.0,25.19,66.69,5.91,78.07,3.0,3.0
12.0,78.0,23.0,16.07,18.72,6.0,88.07,0.0,0.0
93.0,41.0,17.0,25.62,66.5,6.05,105.47,3.0,3.0
73.0,35.0,38.0,24.89,81.98,5.01,185.95,0.0,6.0
30.0,63.0,16.0,23.61,21.91,5.53,100.6,0.0,0.0
13.0,60.0,25.0,17.14,20.61,5.69,128.26,0.0,0.0
34.0,60.0,23.0,20.13,24.97,5.66,100.05,0.0,0.0
7.0,20.0,12.0,16.53,94.77,6.48,110.04,1.0,4.0
106.0,21.0,52.0,28.9,94.79,6.29,23.04,3.0,8.0
108.0,23.0,51.0,26.84,83.85,6.11,40.23,2.0,5.0
58.0,73.0,16.0,33.37,65.68,6.87,64.9,3.0,1.0
94.0,54.0,17.0,23.39,61.74,5.87,107.32,3.0,3.0
30.0,70.0,79.0,20.27,19.97,7.31,69.64,1.0,7.0
25.0,68.0,77.0,20.09,15.11,7.7,85.75,1.0,7.0
78.0,40.0,38.0,26.46,83.86,7.55,248.23,0.0,6.0
21.0,80.0,20.0,28.21,68.27,7.35,64.33,3.0,1.0
72.0,60.0,25.0,18.53,69.03,5.77,88.1,3.0,3.0
106.0,20.0,51.0,29.73,90.97,6.34,20.49,3.0,8.0
101.0,17.0,55.0,24.37,87.13,6.45,44.64,2.0,5.0
42.0,67.0,77.0,18.99,15.94,6.11,78.71,1.0,7.0
59.0,63.0,18.0,31.66,60.13,6.53,66.69,3.0,1.0
81.0,18.0,50.0,26.81,88.23,6.43,58.8,2.0,5.0
110.0,21.0,54.0,26.74,87.82,6.75,47.46,2.0,5.0
37.0,79.0,19.0,27.54,69.35,7.14,69.41,3.0,1.0
53.0,74.0,15.0,29.43,64.94,7.52,72.18,3.0,1.0
37.0,70.0,25.0,19.73,24.89,5.82,84.06,0.0,0.0
17.0,77.0,23.0,24.51,20.82,5.67,64.19,0.0,0.0
34.0,60.0,23.0,20.13,24.97,5.66,100.05,0.0,0.0
118.0,18.0,52.0,28.05,90.83,6.56,20.76,3.0,8.0
93.0,22.0,48.0,29.13,91.52,6.78,21.9,3.0,8.0
13.0,60.0,25.0,17.14,20.61,5.69,128.26,0.0,0.0
33.0,15.0,7.0,15.83,91.68,7.65,109.76,1.0,4.0
117.0,19.0,55.0,28.8,91.78,6.12,25.16,3.0,8.0
20.0,23.0,11.0,31.85,90.12,6.41,109.95,1.0,4.0
101.0,17.0,55.0,24.37,87.13,6.45,44.64,2.0,5.0
78.0,37.0,22.0,25.34,63.32,6.33,74.52,3.0,3.0
22.0,60.0,85.0,18.84,14.74,6.81,94.78,1.0,7.0
34.0,35.0,21.0,28.45,82.68,6.68,58.19,1.0,9.0
8.0,26.0,36.0,18.78,87.4,6.8,102.52,3.0,2.0
89.0,54.0,38.0,24.52,83.54,6.69,230.45,0.0,6.0
44.0,58.0,18.0,28.04,65.07,6.81,72.5,3.0,1.0
7.0,20.0,12.0,16.53,94.77,6.48,110.04,1.0,4.0
77.0,36.0,23.0,24.71,56.73,6.65,88.45,3.0,3.0
21.0,78.0,19.0,27.16,66.76,6.92,69.85,3.0,1.0
21.0,29.0,12.0,22.3,92.16,6.44,117.37,1.0,4.0
41.0,69.0,82.0,20.02,16.63,6.72,68.98,1.0,7.0
99.0,29.0,55.0,29.19,91.46,6.66,26.48,3.0,8.0
98.0,35.0,18.0,23.8,74.83,6.25,91.76,3.0,3.0
85.0,58.0,41.0,21.77,80.32,7.04,226.66,0.0,6.0
0.0,49.0,18.0,29.68,87.94,6.99,41.82,1.0,9.0
37.0,6.0,13.0,26.03,91.51,7.51,101.28,1.0,4.0
95.0,52.0,36.0,26.23,83.84,5.54,286.51,0.0,6.0
13.0,5.0,8.0,23.85,90.11,7.47,103.92,1.0,4.0
15.0,11.0,38.0,23.13,92.68,6.63,109.39,3.0,2.0
57.0,56.0,78.0,17.34,18.76,6.86,67.95,1.0,7.0
67.0,43.0,39.0,26.04,84.97,6.0,186.75,0.0,6.0
117.0,25.0,53.0,29.12,92.13,6.41,24.52,3.0,8.0
31.0,53.0,16.0,28.74,85.82,6.45,48.55,1.0,9.0
28.0,6.0,40.0,22.11,91.34,6.77,106.87,3.0,2.0
120.0,8.0,46.0,29.56,90.71,6.73,28.37,3.0,8.0
63.0,58.0,22.0,18.25,55.28,6.2,63.72,3.0,3.0
0.0,12.0,7.0,20.18,90.65,6.97,116.81,1.0,4.0
83.0,57.0,19.0,25.73,70.75,6.88,98.74,3.0,3.0
117.0,25.0,53.0,29.12,92.13,6.41,24.52,3.0,8.0
111.0,6.0,53.0,26.49,88.59,6.31,46.06,2.0,5.0
85.0,58.0,41.0,21.77,80.32,7.04,226.66,0.0,6.0
36.0,11.0,13.0,17.34,93.05,7.19,112.72,1.0,4.0
81.0,6.0,55.0,24.89,85.87,6.11,51.71,2.0,5.0
55.0,77.0,22.0,31.43,62.99,7.76,64.78,3.0,1.0
72.0,60.0,25.0,18.53,69.03,5.77,88.1,3.0,3.0
22.0,60.0,24.0,18.78,20.25,5.63,104.26,0.0,0.0
80.0,16.0,46.0,25.5,81.4,6.94,48.48,2.0,5.0
120.0,24.0,47.0,26.99,89.41,6.26,58.55,2.0,5.0
34.0,45.0,21.0,28.19,82.61,6.29,37.01,1.0,9.0
33.0,15.0,7.0,15.83,91.68,7.65,109.76,1.0,4.0
21.0,29.0,12.0,22.3,92.16,6.44,117.37,1.0,4.0
83.0,9.0,45.0,25.85,89.13,6.05,46.85,2.0,5.0
87.0,21.0,52.0,27.35,94.29,6.07,27.21,3.0,8.0
0.0,18.0,14.0,29.77,92.01,7.21,114.42,1.0,4.0
54.0,77.0,85.0,17.14,17.07,7.83,83.75,1.0,7.0
4.0,13.0,6.0,15.63,94.26,7.56,101.47,1.0,4.0
98.0,35.0,18.0,23.8,74.83,6.25,91.76,3.0,3.0
80.0,16.0,46.0,25.5,81.4,6.94,48.48,2.0,5.0
77.0,57.0,21.0,24.93,73.8,6.55,79.74,3.0,3.0
80.0,43.0,16.0,23.56,71.59,6.66,66.72,3.0,3.0
83.0,58.0,45.0,25.76,83.52,5.88,245.66,0.0,6.0
41.0,69.0,82.0,20.02,16.63,6.72,68.98,1.0,7.0
33.0,23.0,45.0,20.0,85.84,7.12,112.34,3.0,2.0
114.0,27.0,48.0,27.82,93.04,6.53,26.32,3.0,8.0
49.0,72.0,15.0,31.56,67.84,7.14,74.87,3.0,1.0
27.0,62.0,77.0,18.2,14.71,6.58,70.18,1.0,7.0
120.0,20.0,45.0,25.67,88.7,6.11,54.23,2.0,5.0
35.0,69.0,23.0,16.79,24.97,5.58,75.45,0.0,0.0
99.0,12.0,52.0,28.7,94.31,6.0,22.22,3.0,8.0
99.0,36.0,20.0,20.58,65.35,6.67,78.35,3.0,3.0
14.0,19.0,14.0,17.68,94.36,6.7,108.06,1.0,4.0
59.0,69.0,80.0,19.08,17.87,8.17,69.41,1.0,7.0
107.0,10.0,49.0,25.83,89.0,6.76,45.25,2.0,5.0
60.0,43.0,44.0,21.02,82.95,7.42,298.4,0.0,6.0
31.0,53.0,16.0,28.74,85.82,6.45,48.55,1.0,9.0
25.0,59.0,19.0,29.07,83.69,6.63,43.95,1.0,9.0
80.0,18.0,51.0,28.05,91.82,6.71,20.77,3.0,8.0
11.0,60.0,23.0,27.34,88.5,7.03,51.1,1.0,9.0
5.0,45.0,21.0,28.36,88.01,6.49,43.05,1.0,9.0
76.0,51.0,18.0,26.17,71.96,6.25,79.85,3.0,3.0
81.0,16.0,45.0,26.9,86.25,6.73,59.76,2.0,5.0
21.0,51.0,15.0,29.36,89.19,6.68,48.3,1.0,9.0
29.0,16.0,36.0,19.81,88.93,5.74,102.86,3.0,2.0
118.0,21.0,51.0,24.43,86.34,6.68,48.58,2.0,5.0
31.0,25.0,38.0,24.96,92.41,6.5,109.42,3.0,2.0
27.0,62.0,77.0,18.2,14.71,6.58,70.18,1.0,7.0
120.0,7.0,47.0,24.25,83.04,6.65,54.77,2.0,5.0
14.0,8.0,43.0,21.93,94.46,7.05,111.72,3.0,2.0
87.0,6.0,45.0,29.83,90.79,6.4,22.84,3.0,8.0
37.0,18.0,39.0,24.15,94.51,6.42,110.23,3.0,2.0
28.0,76.0,82.0,20.57,14.26,6.65,83.76,1.0,7.0
120.0,24.0,47.0,26.99,89.41,6.26,58.55,2.0,5.0
84.0,29.0,49.0,29.94,93.91,6.25,20.39,3.0,8.0
12.0,6.0,8.0,30.85,92.87,6.39,107.41,1.0,4.0
26.0,80.0,83.0,17.08,16.15,7.53,71.31,1.0,7.0
31.0,25.0,12.0,18.05,90.04,7.02,111.78,1.0,4.0
37.0,6.0,13.0,26.03,91.51,7.51,101.28,1.0,4.0
7.0,23.0,35.0,19.75,88.72,7.05,102.55,3.0,2.0
8.0,54.0,20.0,28.33,80.77,7.03,38.8,1.0,9.0
24.0,56.0,85.0,18.2,17.41,6.55,80.64,1.0,7.0
53.0,67.0,17.0,31.78,69.02,7.3,61.47,3.0,1.0
52.0,70.0,16.0,33.67,66.6,7.53,67.33,3.0,1.0
20.0,41.0,20.0,29.27,89.49,7.07,50.92,1.0,9.0
84.0,18.0,46.0,27.09,93.42,6.78,25.32,3.0,8.0
114.0,8.0,50.0,24.75,88.31,6.58,57.96,2.0,5.0
69.0,46.0,41.0,23.64,80.29,5.01,263.11,0.0,6.0
27.0,72.0,23.0,19.93,21.8,5.96,64.03,0.0,0.0
29.0,21.0,45.0,23.41,93.13,6.75,105.22,3.0,2.0
40.0,18.0,43.0,19.39,86.79,5.77,109.91,3.0,2.0
49.0,68.0,22.0,28.57,61.53,7.13,63.5,3.0,1.0
36.0,43.0,22.0,27.83,87.17,6.39,58.37,1.0,9.0
27.0,79.0,82.0,17.07,17.54,6.31,70.87,1.0,7.0
57.0,68.0,81.0,17.17,17.3,8.08,72.79,1.0,7.0
80.0,43.0,16.0,23.56,71.59,6.66,66.72,3.0,3.0
22.0,80.0,20.0,23.01,18.87,5.67,100.12,0.0,0.0
12.0,61.0,19.0,19.33,24.14,5.66,68.51,0.0,0.0
31.0,51.0,25.0,27.54,85.57,7.2,53.02,1.0,9.0
31.0,37.0,21.0,27.24,86.4,6.71,37.31,1.0,9.0
71.0,46.0,40.0,20.28,82.12,7.24,191.95,0.0,6.0
57.0,60.0,84.0,19.1,17.26,6.59,75.49,1.0,7.0
32.0,57.0,18.0,15.54,23.76,5.7,107.39,0.0,0.0
37.0,18.0,39.0,24.15,94.51,6.42,110.23,3.0,2.0
32.0,60.0,83.0,19.69,19.44,8.83,91.76,1.0,7.0
102.0,11.0,45.0,29.03,93.13,6.36,24.16,3.0,8.0
92.0,44.0,16.0,18.88,65.77,6.08,94.76,3.0,3.0
66.0,44.0,20.0,19.08,69.02,6.74,80.73,3.0,3.0
23.0,62.0,19.0,16.52,20.46,5.61,98.78,0.0,0.0
29.0,77.0,75.0,17.5,15.48,7.78,72.94,1.0,7.0
50.0,55.0,16.0,28.81,65.34,7.58,62.26,3.0,1.0
20.0,7.0,45.0,18.91,89.24,6.08,112.48,3.0,2.0
30.0,7.0,15.0,33.23,91.06,7.83,115.77,1.0,4.0
6.0,37.0,17.0,28.09,80.35,6.76,38.14,1.0,9.0
53.0,65.0,76.0,20.19,16.42,6.72,77.34,1.0,7.0
14.0,8.0,43.0,21.93,94.46,7.05,111.72,3.0,2.0
19.0,17.0,39.0,24.72,85.56,6.73,111.28,3.0,2.0
107.0,5.0,52.0,26.66,89.98,6.88,57.41,2.0,5.0
37.0,72.0,18.0,18.88,24.54,5.72,105.41,0.0,0.0
14.0,59.0,15.0,21.35,22.91,5.78,146.45,0.0,0.0
24.0,21.0,42.0,20.82,87.23,7.0,109.44,3.0,2.0
111.0,15.0,54.0,27.71,92.91,6.19,22.06,3.0,8.0
90.0,23.0,54.0,28.56,90.46,6.16,27.27,3.0,8.0
1.0,15.0,9.0,29.98,94.55,7.53,115.36,1.0,4.0
27.0,60.0,17.0,26.42,63.65,7.03,64.42,3.0,1.0
19.0,35.0,24.0,27.11,83.64,6.88,49.12,1.0,9.0
8.0,28.0,38.0,23.23,94.43,6.84,105.69,3.0,2.0
18.0,12.0,8.0,12.59,91.82,6.21,119.39,1.0,4.0
119.0,19.0,55.0,25.19,83.45,6.82,46.87,2.0,5.0
30.0,75.0,81.0,19.42,16.81,6.41,68.52,1.0,7.0
91.0,24.0,55.0,26.27,83.09,6.26,46.77,2.0,5.0
117.0,25.0,54.0,28.68,92.51,6.15,29.11,3.0,8.0
83.0,10.0,53.0,24.93,85.01,6.2,48.76,2.0,5.0
52.0,68.0,78.0,17.49,16.96,6.9,86.05,1.0,7.0
21.0,51.0,15.0,29.36,89.19,6.68,48.3,1.0,9.0
86.0,15.0,47.0,24.04,84.18,6.42,53.79,2.0,5.0
107.0,22.0,54.0,28.0,90.85,6.63,21.62,3.0,8.0
99.0,55.0,35.0,21.72,80.24,6.5,277.96,0.0,6.0
37.0,74.0,15.0,24.92,18.23,5.58,62.71,0.0,0.0
23.0,62.0,85.0,18.97,19.52,8.49,80.71,1.0,7.0
17.0,59.0,17.0,18.42,23.43,5.69,132.98,0.0,0.0
24.0,80.0,22.0,16.71,19.18,5.64,96.77,0.0,0.0
114.0,8.0,50.0,24.75,88.31,6.58,57.96,2.0,5.0
84.0,18.0,46.0,27.09,93.42,6.78,25.32,3.0,8.0
27.0,64.0,15.0,20.16,24.84,5.51,138.24,0.0,0.0
39.0,9.0,15.0,25.35,91.81,7.99,116.76,1.0,4.0
49.0,69.0,82.0,18.32,15.36,6.26,81.79,1.0,7.0
86.0,55.0,21.0,21.54,59.64,6.8,109.75,3.0,3.0
86.0,6.0,53.0,25.92,83.47,6.92,42.11,2.0,5.0
0.0,25.0,14.0,19.34,91.98,6.36,116.45,1.0,4.0
74.0,35.0,40.0,26.49,80.16,6.98,242.86,0.0,6.0
61.0,44.0,17.0,26.1,71.57,6.93,102.27,3.0,3.0
93.0,41.0,17.0,25.62,66.5,6.05,105.47,3.0,3.0
27.0,62.0,77.0,18.2,14.71,6.58,70.18,1.0,7.0
21.0,78.0,19.0,27.16,66.76,6.92,69.85,3.0,1.0
84.0,50.0,44.0,25.49,81.41,5.94,182.65,0.0,6.0
118.0,18.0,52.0,28.05,90.83,6.56,20.76,3.0,8.0
82.0,22.0,45.0,26.22,85.35,6.51,54.6,2.0,5.0
